taskid,Processing Time,Release Time,Due Date,Benefit,Vehicle ID,Access Point,Access Point Communication Time,Broker Communication Time,Base Station 1 Communication Time,Base Station 2 Communication Time,Base Station 3 Communication Time,Base Station 4 Communication Time
1,8,0,12,16,3,1,0.2,0.2,0.1,0.1,0.1,0.3
2,5,0,5,6,3,1,0.4,0.1,0.4,0.1,0.1,0.3
3,2,0,3,18,1,1,0.0,0.2,0.1,0.2,0.0,0.0
4,1,0,6,6,1,1,0.0,0.1,0.0,0.4,0.5,0.2
5,10,0,16,3,4,2,0.5,0.1,0.1,0.1,0.1,0.1
6,3,0,9,13,4,2,0.2,0.2,0.3,0.4,0.2,0.0
7,4,1,6,5,4,2,0.3,0.1,0.3,0.1,0.3,0.0
8,3,1,9,10,3,1,0.0,0.1,0.4,0.1,0.4,0.0
9,1,1,8,19,3,1,0.0,0.1,0.0,0.1,0.0,0.0
10,4,1,7,2,3,1,0.0,0.1,0.0,0.1,0.1,0.0
11,7,1,12,10,2,1,0.1,0.1,0.4,0.2,0.1,0.0
12,4,1,10,3,4,2,0.0,0.1,0.3,0.2,0.1,0.0
13,8,1,10,11,3,1,0.0,0.2,0.1,0.1,0.1,0.0
14,9,1,16,18,2,1,0.1,0.4,0.1,0.4,0.4,0.4
15,7,2,12,17,3,1,0.0,0.1,0.4,0.1,0.1,0.0
16,2,2,9,4,4,2,0.0,0.1,0.5,0.3,0.0,0.5
17,8,2,11,2,1,1,0.0,0.1,0.1,0.1,0.1,0.0
18,4,3,14,8,4,2,0.0,0.1,0.4,0.1,0.3,0.0
19,3,3,12,4,1,1,0.0,0.3,0.1,0.1,0.5,0.0
20,10,3,14,20,2,1,0.1,0.3,0.1,0.4,0.1,0.1
21,3,3,8,16,4,2,0.5,0.4,0.0,0.1,0.2,0.2
22,6,3,13,15,2,1,0.0,0.1,0.0,0.1,0.1,0.0
23,7,3,11,12,3,1,0.2,0.2,0.4,0.1,0.1,0.0
24,9,3,13,15,1,1,0.2,0.1,0.1,0.1,0.2,0.4
25,5,3,8,12,3,1,0.2,0.1,0.3,0.1,0.1,0.0
26,4,4,11,15,4,2,0.0,0.1,0.3,0.1,0.4,0.0
27,10,4,18,4,1,1,0.0,0.1,0.3,0.1,0.3,0.5
28,6,5,20,4,4,2,0.2,0.5,0.0,0.1,0.1,0.0
29,2,5,16,12,1,1,0.0,0.4,0.4,0.1,0.3,0.0
30,6,5,15,13,1,1,0.3,0.1,0.0,0.2,0.1,0.0
31,6,5,18,7,1,1,0.0,0.1,0.0,0.1,0.4,0.0
32,4,5,17,9,3,1,0.0,0.4,0.0,0.1,0.5,0.4
33,9,5,17,11,4,2,0.1,0.4,0.1,0.1,0.4,0.2
34,6,6,19,11,1,1,0.0,0.1,0.0,0.1,0.1,0.0
35,10,6,19,16,4,2,0.2,0.5,0.3,0.4,0.2,0.1
36,1,6,10,20,3,1,0.0,0.3,0.2,0.1,0.0,0.0
37,8,6,17,18,2,1,0.4,0.1,0.1,0.4,0.1,0.3
38,6,6,18,11,1,1,0.0,0.1,0.0,0.3,0.1,0.1
39,10,6,17,7,3,1,0.1,0.1,0.1,0.3,0.1,0.1
40,6,6,14,16,1,1,0.1,0.1,0.0,0.3,0.1,0.5
41,4,6,14,8,3,1,0.4,0.1,0.0,0.1,0.4,0.5
42,3,7,14,1,2,1,0.0,0.3,0.0,0.3,0.0,0.0
43,4,7,16,14,2,1,0.0,0.1,0.4,0.1,0.2,0.2
44,1,7,15,12,2,1,0.0,0.1,0.3,0.1,0.3,0.0
45,5,7,12,16,4,2,0.0,0.4,0.5,0.2,0.1,0.0
46,5,7,16,9,3,1,0.0,0.1,0.0,0.4,0.1,0.0
47,8,8,23,9,2,1,0.1,0.1,0.1,0.1,0.1,0.0
48,2,8,18,19,3,1,0.0,0.1,0.0,0.1,0.0,0.0
49,5,8,18,5,4,2,0.4,0.4,0.3,0.2,0.4,0.2
50,10,9,26,5,2,1,0.1,0.4,0.3,0.1,0.4,0.4
51,9,9,24,15,4,2,0.1,0.1,0.1,0.1,0.1,0.0
52,3,9,19,3,2,1,0.3,0.1,0.0,0.1,0.0,0.0
53,10,9,27,6,2,1,0.1,0.1,0.3,0.1,0.1,0.1
