taskid,Processing Time,Release Time,Due Date,Benefit,Vehicle ID,Access Point,Access Point Communication Time,Broker Communication Time,Base Station 1 Communication Time,Base Station 2 Communication Time,Base Station 3 Communication Time,Base Station 4 Communication Time
1,9,0,9,8,3,1,0.0,0.1,0.3,0.3,0.4,0.0
2,2,0,3,3,1,1,0.0,0.2,0.0,0.2,0.5,0.0
3,4,0,22,11,3,1,0.0,0.1,0.0,0.4,0.1,0.0
4,7,0,19,20,4,2,0.0,0.1,0.3,0.1,0.5,0.5
5,2,0,9,17,3,1,0.0,0.4,0.2,0.1,0.0,0.0
6,8,0,11,8,2,1,0.2,0.2,0.1,0.1,0.2,0.0
7,10,0,27,13,3,1,0.1,0.1,0.1,0.5,0.1,0.3
8,4,0,7,6,1,1,0.3,0.1,0.0,0.4,0.1,0.0
9,5,1,13,5,1,1,0.3,0.4,0.0,0.5,0.5,0.0
10,10,1,24,5,2,1,0.3,0.1,0.1,0.2,0.1,0.4
11,10,1,28,20,2,1,0.4,0.4,0.1,0.4,0.5,0.1
12,6,1,10,16,2,1,0.0,0.4,0.0,0.1,0.1,0.0
13,2,1,22,6,4,2,0.0,0.1,0.4,0.1,0.0,0.5
14,1,1,7,11,4,2,0.0,0.3,0.0,0.1,0.3,0.4
15,4,1,21,10,1,1,0.0,0.1,0.0,0.1,0.1,0.3
16,3,1,23,11,2,1,0.0,0.3,0.0,0.1,0.2,0.4
17,5,2,13,1,2,1,0.0,0.1,0.0,0.1,0.3,0.1
18,5,2,10,13,4,2,0.0,0.1,0.3,0.1,0.1,0.0
19,7,2,24,5,1,1,0.0,0.5,0.1,0.1,0.1,0.2
20,2,2,16,18,2,1,0.0,0.4,0.0,0.1,0.0,0.0
21,9,2,26,18,4,2,0.3,0.1,0.1,0.2,0.4,0.5
22,4,2,23,19,3,1,0.2,0.1,0.0,0.2,0.3,0.0
23,2,2,20,8,4,2,0.0,0.1,0.0,0.1,0.0,0.0
24,10,3,29,4,1,1,0.0,0.1,0.1,0.1,0.1,0.1
25,10,3,20,14,3,1,0.2,0.1,0.1,0.1,0.1,0.1
26,8,3,25,19,3,1,0.0,0.3,0.1,0.1,0.3,0.0
27,10,3,24,19,3,1,0.1,0.1,0.1,0.1,0.1,0.4
28,6,3,18,16,4,2,0.0,0.1,0.0,0.1,0.1,0.0
29,1,4,14,16,2,1,0.0,0.1,0.0,0.1,0.0,0.2
30,10,4,16,3,3,1,0.4,0.1,0.5,0.1,0.2,0.1
31,4,4,16,18,2,1,0.0,0.1,0.0,0.1,0.1,0.0
32,6,4,20,3,4,2,0.0,0.5,0.0,0.1,0.1,0.3
33,1,4,17,6,1,1,0.5,0.3,0.0,0.1,0.0,0.0
34,7,5,19,4,4,2,0.0,0.1,0.1,0.1,0.4,0.5
35,9,5,27,15,1,1,0.0,0.1,0.4,0.1,0.1,0.0
36,2,5,17,4,4,2,0.3,0.3,0.0,0.1,0.0,0.0
37,2,6,21,19,1,1,0.0,0.2,0.0,0.4,0.5,0.0
38,3,6,28,5,2,1,0.3,0.1,0.0,0.1,0.0,0.3
39,2,6,8,16,3,1,0.0,0.1,0.4,0.2,0.0,0.0
40,1,7,12,12,3,1,0.0,0.1,0.4,0.5,0.0,0.2
41,1,7,24,10,1,1,0.3,0.2,0.0,0.2,0.3,0.0
42,5,8,18,13,2,1,0.0,0.2,0.0,0.1,0.2,0.2
43,5,8,20,9,4,2,0.2,0.4,0.0,0.4,0.5,0.3
44,10,8,18,17,1,1,0.2,0.3,0.3,0.1,0.1,0.2
45,7,8,29,17,2,1,0.1,0.1,0.1,0.1,0.1,0.0
46,8,9,33,12,1,1,0.2,0.3,0.1,0.3,0.1,0.4
47,3,9,31,11,1,1,0.0,0.1,0.3,0.1,0.0,0.0
48,8,9,34,10,4,2,0.0,0.1,0.2,0.3,0.1,0.0
49,2,9,16,10,3,1,0.0,0.4,0.0,0.1,0.3,0.1
