taskid,Processing Time,Release Time,Due Date,Benefit,Vehicle ID,Access Point,Access Point Communication Time,Broker Communication Time,Base Station 1 Communication Time,Base Station 2 Communication Time,Base Station 3 Communication Time,Base Station 4 Communication Time
1,7,0,14,15,3,1,0.0,0.1,0.3,0.1,0.1,0.0
2,6,0,25,9,2,1,0.1,0.1,0.3,0.1,0.1,0.0
3,6,0,23,5,4,2,0.0,0.1,0.0,0.1,0.2,0.3
4,5,0,23,1,4,2,0.4,0.2,0.0,0.1,0.1,0.5
5,3,0,8,1,4,2,0.1,0.1,0.3,0.2,0.4,0.0
6,4,0,8,12,3,1,0.0,0.3,0.0,0.1,0.4,0.0
7,1,0,7,3,1,1,0.0,0.2,0.0,0.2,0.4,0.0
8,6,0,10,19,4,2,0.2,0.1,0.0,0.3,0.1,0.4
9,9,0,20,7,2,1,0.1,0.1,0.2,0.1,0.1,0.3
10,9,1,29,16,1,1,0.3,0.4,0.1,0.2,0.5,0.3
11,3,2,10,18,1,1,0.0,0.1,0.4,0.1,0.0,0.5
12,6,2,18,9,2,1,0.0,0.1,0.2,0.5,0.1,0.0
13,8,2,21,15,1,1,0.4,0.1,0.1,0.1,0.4,0.0
14,8,2,22,20,1,1,0.0,0.1,0.1,0.1,0.1,0.3
15,6,2,14,16,3,1,0.0,0.1,0.4,0.1,0.1,0.0
16,2,2,15,19,4,2,0.2,0.1,0.4,0.1,0.0,0.0
17,10,3,22,3,2,1,0.1,0.4,0.3,0.1,0.3,0.1
18,7,3,25,12,4,2,0.3,0.1,0.1,0.1,0.4,0.0
19,7,4,27,2,3,1,0.3,0.2,0.4,0.3,0.1,0.3
20,6,4,20,15,3,1,0.0,0.1,0.0,0.1,0.1,0.0
21,4,5,21,15,4,2,0.2,0.1,0.0,0.1,0.4,0.4
22,8,6,17,10,1,1,0.1,0.1,0.1,0.1,0.1,0.4
23,4,7,16,10,4,2,0.0,0.1,0.3,0.1,0.1,0.0
24,7,7,19,17,4,2,0.0,0.1,0.2,0.3,0.1,0.0
25,2,7,12,16,1,1,0.4,0.1,0.0,0.1,0.0,0.3
26,8,7,23,14,3,1,0.0,0.2,0.1,0.2,0.1,0.0
27,9,8,23,12,1,1,0.0,0.4,0.1,0.3,0.3,0.0
28,4,9,15,7,1,1,0.0,0.2,0.0,0.1,0.1,0.0
29,8,9,17,19,4,2,0.3,0.2,0.4,0.2,0.4,0.3
30,8,9,21,11,2,1,0.1,0.4,0.1,0.1,0.1,0.0
31,5,9,15,19,2,1,0.0,0.3,0.0,0.1,0.1,0.3
32,2,9,19,5,3,1,0.0,0.1,0.4,0.4,0.0,0.1
33,6,9,22,14,2,1,0.0,0.1,0.2,0.1,0.1,0.1
34,10,10,27,19,3,1,0.1,0.1,0.1,0.3,0.1,0.1
35,5,10,22,11,3,1,0.0,0.1,0.0,0.1,0.1,0.0
36,6,10,23,6,3,1,0.0,0.1,0.0,0.1,0.1,0.0
37,7,10,25,14,2,1,0.1,0.1,0.2,0.2,0.1,0.2
38,6,10,32,4,1,1,0.0,0.1,0.3,0.1,0.1,0.0
39,10,11,34,5,3,1,0.1,0.4,0.1,0.1,0.2,0.1
40,5,11,19,4,4,2,0.0,0.1,0.0,0.1,0.1,0.0
41,10,11,29,18,4,2,0.0,0.1,0.2,0.2,0.1,0.1
42,8,11,20,16,4,2,0.0,0.4,0.1,0.1,0.1,0.2
